,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,ktperdayCH4,KtperdayCH4,KtperdayCH4
2,Base_em,0.3208647329988251,8.291260551654918,4.722832078797814,13.510757380373496,0.26277870599663933,21.676607240567186,1.090048235887303,2.071813073529891,0.6292040975833333,13.260213839592897,6.325943223575409,1.8780770906546456,0.6639211923887158,2.7790204731633876,0.49737226746275953,8.844753492136613,56.6429217853541,0.5387666874527323,0.9514763649139917,2.6303432360314205,3.2695955766669393,14.610594992749155,2.7469261688017763,170.30194699429026,7.686191450629235,0.9925889311229509,0.37629723132385245,1.3449307444153002,0.5057809020000001,1.5570132553469944,0.09799964220229344,1.3879503634411832,2.253573798199454,3.5811630173224045,0.9739058444119154,0.9517953257703006,2.407442246237705,6.914358042428689,0.3172519509830601,0.4345908090081968,0.38248954460056017,11.043204531799399,2.492507350302975,7.147089139326414,0.913830761587432,0.4452845801615847,8.611496683784639,1.7095371945161204,0.0009806259844262295,1.3039963367555736,1.2514801821708743,0.948164747054645,0.7702387629562842,0.49090535225696724,1.186269303502382,0.0570208663400765,91.09111566201602,36.79777714510929,17.988552616723773,7.72143964438989,1.9563637963608325,1.1212211498807652,4.478370826879808,0.2674614302398907,5.724904895843626,0.6304389218945355,9.370346515288489,5.830293836758196,3.7813574616896743,3.4865446090628414,0.7729437360073771,0.2671067329127541,0.3420193009645082,1.6217722502400005,0.4727257808211475,0.06251290831433305,6.1109423222049175,0.01523757984696011,0.04919708797557377,18.364135210674124,0.4352239808473771,2.2974250832551917,1.772116274861558,1.7783054314655737,9.546320652943168,0.5609097218965847,3.252978863797813,2.332356640212405,3.902078891850981,1.0053672170035521,2.38084998034153,19.75928052546995,0.19517297385286886,2.1815758858371614,2.6301798662557214,21.15296162193689,0.44143008481120205,2.785793058163935,2.911275584733552,8.512709691894809,6.9082922910137015,1.4673074497026475,7.172812187429181,2.3107295522249993,47.25099919755637,9.74541327137459,1.184789219079235,0.21644876572068306,0.5667462731563387,0.3626006149413934,8.87135760173369,4.684930708030618,1.3326980594109292,7.827865947213661,0.07757462358357925,1.3022422176866972,0.5961925146444288,1.2649874643192074,1.1416835854890546,0.8342624243955737,5.1975497598224045,11.429765800434426,0.5118434638828688,1.5535398226113386,0.9485332726666913,10.378176341304998,4.798282487685793,6.36444196110746,4.419498867927869,11.569284300752503,69.09029265873706,2.780614608654918,6.020815139770492,8.57257591348634,12.361780829502736,1.4982997820046449,1.2779703770601094,1.313731760104918,0.010120725401502733,2.7278400805150746
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,-4.9331876530727235e-08,0.0,0.0,0.0,0.0,-3.8252081089730674e-08,-6.928396360388371e-09,0.0,-4.250222864563843e-09,0.0,0.0,-2.750644992433289e-08,0.0,0.0,0.0,0.0,0.0,-1.214353020828445e-09,-4.838572681634372e-09,0.0,0.0,0.0,0.0,-5.878791379699588e-09,-8.378078576561533e-10,0.0,0.0,0.0,0.0,-7.502629569874605e-09,0.0,0.0,0.0,0.0,-8.425146486618517e-10,0.0,0.0,0.0,0.0,-1.5325339755300744e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4214519192150047e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8450639569502615e-09,0.0,-4.0054744390585206e-09,0.0,0.0,-4.0478402649008136e-10,0.0,0.0,-4.236116611919765e-10,0.0,0.0,0.0,0.0,-1.0496162769871945e-09,0.0,0.0,0.0,0.0,0.0,-1.84741735245311e-08,-2.287507018276938e-09,0.0,0.0,0.0,-1.412037301709586e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.118054069847977e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.212964127522179e-10,-1.2614218722436327e-09,0.0,0.0,-1.1955220913728461e-08,-6.509487254090187e-09,-1.80552408842779e-08,0.0,0.0,-2.248292349726776e-05,0.0,-2.414111205279256e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2331792434930388e-09,-2.3284466864445048e-08,0.0,0.0,0.0,0.0,0.0,-0.00014534560735437896,-0.0067665334695015435
6,4,0.0,0.0,-4.9331876530727235e-08,0.0,0.0,0.0,0.0,-3.8252081089730674e-08,-6.928396360388371e-09,0.0,-4.250222864563843e-09,0.0,0.0,-2.750644992433289e-08,0.0,0.0,0.0,0.0,0.0,-1.214353020828445e-09,-4.838572681634372e-09,0.0,0.0,0.0,0.0,-5.878791379699588e-09,-8.378078576561533e-10,0.0,0.0,0.0,0.0,-7.502629569874605e-09,0.0,0.0,0.0,0.0,-8.425146486618517e-10,0.0,0.0,0.0,0.0,-1.5325339755300744e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4214519192150047e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8450639569502615e-09,0.0,-4.0054744390585206e-09,0.0,0.0,-4.0478402649008136e-10,0.0,0.0,-4.236116611919765e-10,0.0,0.0,0.0,0.0,-1.0496162769871945e-09,0.0,0.0,0.0,0.0,0.0,-1.84741735245311e-08,-2.287507018276938e-09,0.0,0.0,0.0,-1.412037301709586e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.118054069847977e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.212964127522179e-10,-1.2614218722436327e-09,0.0,0.0,-1.1955220913728461e-08,-6.509487254090187e-09,-1.80552408842779e-08,0.0,0.0,-2.248292349726776e-05,0.0,-2.414111205279256e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2331792434930388e-09,-2.3284466864445048e-08,0.0,0.0,0.0,0.0,0.0,-0.00014534560735437896,-0.0067665334695015435
7,5,0.0,0.0,-4.9331876530727235e-08,0.0,0.0,0.0,0.0,-3.8252081089730674e-08,-6.928396360388371e-09,0.0,-4.250222864563843e-09,0.0,0.0,-2.750644992433289e-08,0.0,0.0,0.0,0.0,0.0,-1.214353020828445e-09,-4.838572681634372e-09,0.0,0.0,0.0,0.0,-5.878791379699588e-09,-8.378078576561533e-10,0.0,0.0,0.0,0.0,-7.502629569874605e-09,0.0,0.0,0.0,0.0,-8.425146486618517e-10,0.0,0.0,0.0,0.0,-1.5325339755300744e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4214519192150047e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8450639569502615e-09,0.0,-4.0054744390585206e-09,0.0,0.0,-4.0478402649008136e-10,0.0,0.0,-4.236116611919765e-10,0.0,0.0,0.0,0.0,-1.0496162769871945e-09,0.0,0.0,0.0,0.0,0.0,-1.84741735245311e-08,-2.287507018276938e-09,0.0,0.0,0.0,-1.412037301709586e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.118054069847977e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.212964127522179e-10,-1.2614218722436327e-09,0.0,0.0,-1.1955220913728461e-08,-6.509487254090187e-09,-1.80552408842779e-08,0.0,0.0,-2.248292349726776e-05,0.0,-2.414111205279256e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2331792434930388e-09,-2.3284466864445048e-08,0.0,0.0,0.0,0.0,0.0,-0.00014534560735437896,-0.0067665334695015435
8,6,0.0,0.0,-4.9331876530727235e-08,0.0,0.0,0.0,0.0,-3.8252081089730674e-08,-6.928396360388371e-09,0.0,-4.250222864563843e-09,0.0,0.0,-2.750644992433289e-08,0.0,0.0,0.0,0.0,0.0,-1.214353020828445e-09,-4.838572681634372e-09,0.0,0.0,0.0,0.0,-5.878791379699588e-09,-8.378078576561533e-10,0.0,0.0,0.0,0.0,-7.502629569874605e-09,0.0,0.0,0.0,0.0,-8.425146486618517e-10,0.0,0.0,0.0,0.0,-1.5325339755300744e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4214519192150047e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8450639569502615e-09,0.0,-4.0054744390585206e-09,0.0,0.0,-4.0478402649008136e-10,0.0,0.0,-4.236116611919765e-10,0.0,0.0,0.0,0.0,-1.0496162769871945e-09,0.0,0.0,0.0,0.0,0.0,-1.84741735245311e-08,-2.287507018276938e-09,0.0,0.0,0.0,-1.412037301709586e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.118054069847977e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.212964127522179e-10,-1.2614218722436327e-09,0.0,0.0,-1.1955220913728461e-08,-6.509487254090187e-09,-1.80552408842779e-08,0.0,0.0,-2.248292349726776e-05,0.0,-2.414111205279256e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2331792434930388e-09,-2.3284466864445048e-08,0.0,0.0,0.0,0.0,0.0,-0.00014534560735437896,-0.0067665334695015435
9,7,0.0,0.0,-4.9331876530727235e-08,0.0,0.0,0.0,0.0,-3.8252081089730674e-08,-6.928396360388371e-09,0.0,-4.250222864563843e-09,0.0,0.0,-2.750644992433289e-08,0.0,0.0,0.0,0.0,0.0,-1.214353020828445e-09,-4.838572681634372e-09,0.0,0.0,0.0,0.0,-5.878791379699588e-09,-8.378078576561533e-10,0.0,0.0,0.0,0.0,-7.502629569874605e-09,0.0,0.0,0.0,0.0,-8.425146486618517e-10,0.0,0.0,0.0,0.0,-1.5325339755300744e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4214519192150047e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8450639569502615e-09,0.0,-4.0054744390585206e-09,0.0,0.0,-4.0478402649008136e-10,0.0,0.0,-4.236116611919765e-10,0.0,0.0,0.0,0.0,-1.0496162769871945e-09,0.0,0.0,0.0,0.0,0.0,-1.84741735245311e-08,-2.287507018276938e-09,0.0,0.0,0.0,-1.412037301709586e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.118054069847977e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.212964127522179e-10,-1.2614218722436327e-09,0.0,0.0,-1.1955220913728461e-08,-6.509487254090187e-09,-1.80552408842779e-08,0.0,0.0,-2.248292349726776e-05,0.0,-2.414111205279256e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2331792434930388e-09,-2.3284466864445048e-08,0.0,0.0,0.0,0.0,0.0,-0.00014534560735437896,-0.0067665334695015435
