,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,ktperdayBC,KtperdayBC,KtperdayBC
2,Base_em,0.002619126707275957,0.01911436942165027,0.051490225000273226,0.08354849323730328,0.0014288911512336064,0.08844876799810655,0.011050341418043777,0.0025539191696174863,0.0003974772190273225,0.08618106886789617,0.009992228894775957,0.01117346204500637,0.01829447998989071,0.017754164144945354,0.01223219692415847,0.004536892478087432,0.6883065216215158,0.0006632436592459017,0.00933752681126593,0.05242900059316939,0.03025551926666667,0.08896534225023203,0.046249016259198916,3.5896068655550724,0.054514997179347005,0.010095437918989071,0.009054748511963936,0.04324995020594262,0.008733048417512842,0.01645207536010929,0.0006090133042398909,0.028512781009351326,0.01295186507420219,0.15874661406864754,0.006349549262672196,0.007926004240016394,0.021115932094937163,0.04107722174491803,0.004277155217868852,0.004577483486338798,0.0033991335723023036,0.29201366342493607,0.022348981810433155,0.06270659728764745,0.012579942991530056,0.003360847184153006,0.053270952170261544,0.033383985639071044,8.51532572262295e-05,0.010457077338412885,0.03964956823809562,0.027758233969398905,0.0185618583795082,0.009247099776106556,0.015765743629931217,0.00032590291916459555,2.1704813450953804,0.5593673936122361,0.054004992460063704,0.020266334927103828,0.004497982697113006,0.002969232670903688,0.052558171708621045,0.006507452419945356,0.10604327042364976,0.001883492210819672,0.02885515205164768,0.1042535533852459,0.0551594888364425,0.003740232435737706,0.0027288714466898907,0.004776371930371804,0.0024714225148907104,0.010027010646666666,0.0071047955050838,0.0013231795164877077,0.040680957800710384,0.00027811716765282785,0.0015478573189617486,0.08713952574420356,0.003212456365240437,0.0035940107810655745,0.016837834285702187,0.059515639841282254,0.08724905621166061,0.003931893766825136,0.05962822333019126,0.008038169462571914,0.006630240595440164,0.008646270845333336,0.015045539069125683,0.6026861565112022,0.002082455492741157,0.007460336776446806,0.002369305717497268,0.2603298433587978,0.003909024890519125,0.0219297245560929,0.030666234690326775,0.12265495127312408,0.05496699722034071,0.011955071178854625,0.002905655868674864,0.025641349147360375,0.09494891393696887,0.05325979408344263,0.0151801607152459,0.008110919171557377,0.004428866725283633,0.0038831776327263668,0.15331516837970843,0.04633059182737307,0.039579042833273216,0.060282283909016396,0.00046026322383606566,0.018579394351248803,0.005266573350300575,0.003116734819508197,0.028086455819613936,0.001436306726060109,0.13614776998445355,0.20431377863664482,0.016753495630765024,0.0010832651764590162,0.010268797319016393,0.07857807553233084,0.0027505993248360667,0.03032945883908989,0.007112555278688525,0.03682248155983604,0.5427771040320531,0.018771915484792352,0.00300477823879235,0.022079344688524592,0.21046929184781427,0.0021768355316120216,0.052838840236568305,0.043055495194439894,0.018464666340874316,0.8505126929041201
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,-8.743761407450873e-08,0.0,0.0,0.0,0.0,-6.779934758486623e-08,-1.2280136345001044e-08,0.0,-7.533261365739694e-09,0.0,0.0,-4.8753420388350685e-08,0.0,0.0,0.0,0.0,0.0,-2.1523590454139104e-09,-8.576060326634234e-09,0.0,0.0,0.0,0.0,-1.0419766845058454e-08,-1.4849616857489173e-09,0.0,0.0,0.0,0.0,-1.3297913157686907e-08,0.0,0.0,0.0,0.0,-1.4933038138557773e-09,0.0,0.0,0.0,0.0,-2.7163107406273e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51942877934099e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.270258622237178e-09,0.0,-7.0994458523264656e-09,0.0,0.0,-7.174529523807567e-10,0.0,0.0,-7.508232533887791e-10,0.0,0.0,0.0,0.0,-1.8603751480917988e-09,0.0,0.0,0.0,0.0,0.0,-3.274426956351825e-08,-4.05445236490562e-09,0.0,0.0,0.0,-2.502747629609334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.754126151205007e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1012075073364774e-09,-2.235792564139125e-09,0.0,0.0,-2.1189829173986243e-08,-1.1537645712001297e-08,-3.2001697973713193e-08,0.0,0.0,-3.984950819672131e-05,0.0,-4.2788504052693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.185729722965214e-09,-4.1270236925516116e-08,0.0,0.0,0.0,0.0,0.0,-0.00026517448477673836,-0.0021097360669636274
6,4,0.0,0.0,-8.743761407450873e-08,0.0,0.0,0.0,0.0,-6.779934758486623e-08,-1.2280136345001044e-08,0.0,-7.533261365739694e-09,0.0,0.0,-4.8753420388350685e-08,0.0,0.0,0.0,0.0,0.0,-2.1523590454139104e-09,-8.576060326634234e-09,0.0,0.0,0.0,0.0,-1.0419766845058454e-08,-1.4849616857489173e-09,0.0,0.0,0.0,0.0,-1.3297913157686907e-08,0.0,0.0,0.0,0.0,-1.4933038138557773e-09,0.0,0.0,0.0,0.0,-2.7163107406273e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51942877934099e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.270258622237178e-09,0.0,-7.0994458523264656e-09,0.0,0.0,-7.174529523807567e-10,0.0,0.0,-7.508232533887791e-10,0.0,0.0,0.0,0.0,-1.8603751480917988e-09,0.0,0.0,0.0,0.0,0.0,-3.274426956351825e-08,-4.05445236490562e-09,0.0,0.0,0.0,-2.502747629609334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.754126151205007e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1012075073364774e-09,-2.235792564139125e-09,0.0,0.0,-2.1189829173986243e-08,-1.1537645712001297e-08,-3.2001697973713193e-08,0.0,0.0,-3.984950819672131e-05,0.0,-4.2788504052693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.185729722965214e-09,-4.1270236925516116e-08,0.0,0.0,0.0,0.0,0.0,-0.00026517448477673836,-0.0021097360669636274
7,5,0.0,0.0,-8.743761407450873e-08,0.0,0.0,0.0,0.0,-6.779934758486623e-08,-1.2280136345001044e-08,0.0,-7.533261365739694e-09,0.0,0.0,-4.8753420388350685e-08,0.0,0.0,0.0,0.0,0.0,-2.1523590454139104e-09,-8.576060326634234e-09,0.0,0.0,0.0,0.0,-1.0419766845058454e-08,-1.4849616857489173e-09,0.0,0.0,0.0,0.0,-1.3297913157686907e-08,0.0,0.0,0.0,0.0,-1.4933038138557773e-09,0.0,0.0,0.0,0.0,-2.7163107406273e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51942877934099e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.270258622237178e-09,0.0,-7.0994458523264656e-09,0.0,0.0,-7.174529523807567e-10,0.0,0.0,-7.508232533887791e-10,0.0,0.0,0.0,0.0,-1.8603751480917988e-09,0.0,0.0,0.0,0.0,0.0,-3.274426956351825e-08,-4.05445236490562e-09,0.0,0.0,0.0,-2.502747629609334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.754126151205007e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1012075073364774e-09,-2.235792564139125e-09,0.0,0.0,-2.1189829173986243e-08,-1.1537645712001297e-08,-3.2001697973713193e-08,0.0,0.0,-3.984950819672131e-05,0.0,-4.2788504052693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.185729722965214e-09,-4.1270236925516116e-08,0.0,0.0,0.0,0.0,0.0,-0.00026517448477673836,-0.0021097360669636274
8,6,0.0,0.0,-8.743761407450873e-08,0.0,0.0,0.0,0.0,-6.779934758486623e-08,-1.2280136345001044e-08,0.0,-7.533261365739694e-09,0.0,0.0,-4.8753420388350685e-08,0.0,0.0,0.0,0.0,0.0,-2.1523590454139104e-09,-8.576060326634234e-09,0.0,0.0,0.0,0.0,-1.0419766845058454e-08,-1.4849616857489173e-09,0.0,0.0,0.0,0.0,-1.3297913157686907e-08,0.0,0.0,0.0,0.0,-1.4933038138557773e-09,0.0,0.0,0.0,0.0,-2.7163107406273e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51942877934099e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.270258622237178e-09,0.0,-7.0994458523264656e-09,0.0,0.0,-7.174529523807567e-10,0.0,0.0,-7.508232533887791e-10,0.0,0.0,0.0,0.0,-1.8603751480917988e-09,0.0,0.0,0.0,0.0,0.0,-3.274426956351825e-08,-4.05445236490562e-09,0.0,0.0,0.0,-2.502747629609334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.754126151205007e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1012075073364774e-09,-2.235792564139125e-09,0.0,0.0,-2.1189829173986243e-08,-1.1537645712001297e-08,-3.2001697973713193e-08,0.0,0.0,-3.984950819672131e-05,0.0,-4.2788504052693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.185729722965214e-09,-4.1270236925516116e-08,0.0,0.0,0.0,0.0,0.0,-0.00026517448477673836,-0.0021097360669636274
9,7,0.0,0.0,-8.743761407450873e-08,0.0,0.0,0.0,0.0,-6.779934758486623e-08,-1.2280136345001044e-08,0.0,-7.533261365739694e-09,0.0,0.0,-4.8753420388350685e-08,0.0,0.0,0.0,0.0,0.0,-2.1523590454139104e-09,-8.576060326634234e-09,0.0,0.0,0.0,0.0,-1.0419766845058454e-08,-1.4849616857489173e-09,0.0,0.0,0.0,0.0,-1.3297913157686907e-08,0.0,0.0,0.0,0.0,-1.4933038138557773e-09,0.0,0.0,0.0,0.0,-2.7163107406273e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51942877934099e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.270258622237178e-09,0.0,-7.0994458523264656e-09,0.0,0.0,-7.174529523807567e-10,0.0,0.0,-7.508232533887791e-10,0.0,0.0,0.0,0.0,-1.8603751480917988e-09,0.0,0.0,0.0,0.0,0.0,-3.274426956351825e-08,-4.05445236490562e-09,0.0,0.0,0.0,-2.502747629609334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.754126151205007e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1012075073364774e-09,-2.235792564139125e-09,0.0,0.0,-2.1189829173986243e-08,-1.1537645712001297e-08,-3.2001697973713193e-08,0.0,0.0,-3.984950819672131e-05,0.0,-4.2788504052693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.185729722965214e-09,-4.1270236925516116e-08,0.0,0.0,0.0,0.0,0.0,-0.00026517448477673836,-0.0021097360669636274
