,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,KtperdaySO2,KtperdaySO2
2,Base_em,0.020588132979599456,0.2151574926856011,0.18390102655737703,1.3339132661850248,0.002452871023278688,2.624327075304112,0.12851471429450959,0.10607862155647542,0.021428958182423494,0.6173943353486613,0.1886652491803361,0.17637059040949843,0.025508298180956287,0.07683171279672131,0.5396964592486339,0.13087858288524593,4.661712514347431,0.0149008979584153,1.4652060650407188,0.1375137643907104,0.06534373116939893,2.6023394135720976,1.9813115185970493,84.42849599878667,0.4808882502423496,0.008288473391530054,0.03862678219551911,0.08903965697540984,0.11733906975258197,1.1757813935819674,0.05662809797739782,0.5173954762597707,0.540114363579235,0.1146339319521858,0.055221192682775484,0.47989659757258474,0.7073409429696448,2.6188388497890718,0.12095665788688524,0.0188287054931694,0.026440086400247764,0.2513599678491776,0.46554792380876586,0.6042241242702258,0.05517688881284153,0.03209007721306009,1.327436554194709,0.13382743715420764,0.009163785325101093,0.6804618644472656,0.23904460255598906,0.060278101428961756,0.24458564392622956,0.8193007918614341,0.26122180227047526,0.0261861355445198,31.365581051730356,6.484887119961777,3.145368850439535,3.950822798429318,0.12113878630239626,0.1508799538103825,0.6617705595092379,0.1829421842052459,3.040521252381839,0.4377495929572405,4.252696521057376,0.1870789169398907,2.3035600314397704,1.750685470000273,0.15012270086836066,0.016292259338929582,0.5691272285630629,0.506521402647022,0.03630673184348796,0.004449169843774419,1.4538344189631145,0.016080257913535515,0.10157248061480875,3.356196176531967,0.020639615043699457,0.2774465069016393,1.0271687975534232,0.07459095653810384,0.19574353658360652,0.036344613722677596,0.10162580418032788,0.20432780802266926,0.1135442482115363,0.12871964512103826,0.03036114740519125,0.4839988377978142,0.17603883824610822,0.217702703005785,0.14055486122732241,3.140686683550191,0.21864659214508195,0.024931437727322404,0.5689624576869234,1.4101676298492134,1.9117608635770278,0.23034289127174432,0.04269298560067212,0.8494860451083288,6.423647479158443,9.43004410569399,0.16566417708333334,0.2114629605830464,0.11665272521118981,0.038324703279783316,7.946913142932489,0.9971770226144013,0.35751590358551916,0.2907809283825136,0.05588025194035519,0.4395788986444863,0.074984550089488,0.42631416637295094,3.190139098849353,0.023701171911939888,0.1744470704059563,1.9413731649758907,0.012327297539344263,0.016432120048314205,0.15664872876270491,3.8897799520716236,0.06401617757923499,2.6183404251584164,0.38689786623158473,0.8566157103015035,23.368596924485484,0.13288688911215848,0.18431780625109292,0.9923703558653004,2.837934357292349,0.1758610114841803,0.3578715222076503,0.2371587132103279,0.5062637601803278,25.788333735902214
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,-2.363413436825839e-06,0.0,0.0,0.0,0.0,-1.8325975502925684e-06,-3.319284557352534e-07,0.0,-2.036217094631895e-07,0.0,0.0,-1.3177931406802448e-06,0.0,0.0,0.0,0.0,0.0,-5.817773482459913e-08,-2.3180867570335008e-07,0.0,0.0,0.0,0.0,-2.81643265754232e-07,-4.013813931362418e-08,0.0,0.0,0.0,0.0,-3.594388678362549e-07,0.0,0.0,0.0,0.0,-4.036362284354317e-08,0.0,0.0,0.0,0.0,-7.342127996580283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809951847446363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.83941940377609e-08,0.0,-1.9189624584561327e-07,0.0,0.0,-1.9392619067055083e-08,0.0,0.0,-2.029455318673108e-08,0.0,0.0,0.0,0.0,-5.028549121564582e-08,0.0,0.0,0.0,0.0,0.0,-8.850687461443732e-07,-1.0959066251700395e-07,0.0,0.0,0.0,-6.764848551955156e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0147286006947554e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.976534153601158e-08,-6.043273015468331e-08,0.0,0.0,-5.727564726353633e-07,-3.1186029919589645e-07,-8.649989892960746e-07,0.0,0.0,-0.0010771218579234971,0.0,-1.15656342681734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.907970659860316e-08,-1.1155223555443464e-06,0.0,0.0,0.0,0.0,0.0,-0.007270547395149731,-0.06396915442114527
6,4,0.0,0.0,-2.363413436825839e-06,0.0,0.0,0.0,0.0,-1.8325975502925684e-06,-3.319284557352534e-07,0.0,-2.036217094631895e-07,0.0,0.0,-1.3177931406802448e-06,0.0,0.0,0.0,0.0,0.0,-5.817773482459913e-08,-2.3180867570335008e-07,0.0,0.0,0.0,0.0,-2.81643265754232e-07,-4.013813931362418e-08,0.0,0.0,0.0,0.0,-3.594388678362549e-07,0.0,0.0,0.0,0.0,-4.036362284354317e-08,0.0,0.0,0.0,0.0,-7.342127996580283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809951847446363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.83941940377609e-08,0.0,-1.9189624584561327e-07,0.0,0.0,-1.9392619067055083e-08,0.0,0.0,-2.029455318673108e-08,0.0,0.0,0.0,0.0,-5.028549121564582e-08,0.0,0.0,0.0,0.0,0.0,-8.850687461443732e-07,-1.0959066251700395e-07,0.0,0.0,0.0,-6.764848551955156e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0147286006947554e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.976534153601158e-08,-6.043273015468331e-08,0.0,0.0,-5.727564726353633e-07,-3.1186029919589645e-07,-8.649989892960746e-07,0.0,0.0,-0.0010771218579234971,0.0,-1.15656342681734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.907970659860316e-08,-1.1155223555443464e-06,0.0,0.0,0.0,0.0,0.0,-0.007270547395149731,-0.06396915442114527
7,5,0.0,0.0,-2.363413436825839e-06,0.0,0.0,0.0,0.0,-1.8325975502925684e-06,-3.319284557352534e-07,0.0,-2.036217094631895e-07,0.0,0.0,-1.3177931406802448e-06,0.0,0.0,0.0,0.0,0.0,-5.817773482459913e-08,-2.3180867570335008e-07,0.0,0.0,0.0,0.0,-2.81643265754232e-07,-4.013813931362418e-08,0.0,0.0,0.0,0.0,-3.594388678362549e-07,0.0,0.0,0.0,0.0,-4.036362284354317e-08,0.0,0.0,0.0,0.0,-7.342127996580283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809951847446363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.83941940377609e-08,0.0,-1.9189624584561327e-07,0.0,0.0,-1.9392619067055083e-08,0.0,0.0,-2.029455318673108e-08,0.0,0.0,0.0,0.0,-5.028549121564582e-08,0.0,0.0,0.0,0.0,0.0,-8.850687461443732e-07,-1.0959066251700395e-07,0.0,0.0,0.0,-6.764848551955156e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0147286006947554e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.976534153601158e-08,-6.043273015468331e-08,0.0,0.0,-5.727564726353633e-07,-3.1186029919589645e-07,-8.649989892960746e-07,0.0,0.0,-0.0010771218579234971,0.0,-1.15656342681734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.907970659860316e-08,-1.1155223555443464e-06,0.0,0.0,0.0,0.0,0.0,-0.007270547395149731,-0.06396915442114527
8,6,0.0,0.0,-2.363413436825839e-06,0.0,0.0,0.0,0.0,-1.8325975502925684e-06,-3.319284557352534e-07,0.0,-2.036217094631895e-07,0.0,0.0,-1.3177931406802448e-06,0.0,0.0,0.0,0.0,0.0,-5.817773482459913e-08,-2.3180867570335008e-07,0.0,0.0,0.0,0.0,-2.81643265754232e-07,-4.013813931362418e-08,0.0,0.0,0.0,0.0,-3.594388678362549e-07,0.0,0.0,0.0,0.0,-4.036362284354317e-08,0.0,0.0,0.0,0.0,-7.342127996580283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809951847446363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.83941940377609e-08,0.0,-1.9189624584561327e-07,0.0,0.0,-1.9392619067055083e-08,0.0,0.0,-2.029455318673108e-08,0.0,0.0,0.0,0.0,-5.028549121564582e-08,0.0,0.0,0.0,0.0,0.0,-8.850687461443732e-07,-1.0959066251700395e-07,0.0,0.0,0.0,-6.764848551955156e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0147286006947554e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.976534153601158e-08,-6.043273015468331e-08,0.0,0.0,-5.727564726353633e-07,-3.1186029919589645e-07,-8.649989892960746e-07,0.0,0.0,-0.0010771218579234971,0.0,-1.15656342681734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.907970659860316e-08,-1.1155223555443464e-06,0.0,0.0,0.0,0.0,0.0,-0.007270547395149731,-0.06396915442114527
9,7,0.0,0.0,-2.363413436825839e-06,0.0,0.0,0.0,0.0,-1.8325975502925684e-06,-3.319284557352534e-07,0.0,-2.036217094631895e-07,0.0,0.0,-1.3177931406802448e-06,0.0,0.0,0.0,0.0,0.0,-5.817773482459913e-08,-2.3180867570335008e-07,0.0,0.0,0.0,0.0,-2.81643265754232e-07,-4.013813931362418e-08,0.0,0.0,0.0,0.0,-3.594388678362549e-07,0.0,0.0,0.0,0.0,-4.036362284354317e-08,0.0,0.0,0.0,0.0,-7.342127996580283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809951847446363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.83941940377609e-08,0.0,-1.9189624584561327e-07,0.0,0.0,-1.9392619067055083e-08,0.0,0.0,-2.029455318673108e-08,0.0,0.0,0.0,0.0,-5.028549121564582e-08,0.0,0.0,0.0,0.0,0.0,-8.850687461443732e-07,-1.0959066251700395e-07,0.0,0.0,0.0,-6.764848551955156e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0147286006947554e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.976534153601158e-08,-6.043273015468331e-08,0.0,0.0,-5.727564726353633e-07,-3.1186029919589645e-07,-8.649989892960746e-07,0.0,0.0,-0.0010771218579234971,0.0,-1.15656342681734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.907970659860316e-08,-1.1155223555443464e-06,0.0,0.0,0.0,0.0,0.0,-0.007270547395149731,-0.06396915442114527
